Model,Accuracy,Precision,Recall,F1,ROC-AUC
Gradient Boosting,0.7572746628814763,0.5283687943262412,0.7967914438502673,0.6353944562899787,0.8388410963858532
Logistic Regression,0.7331440738112136,0.4983277591973244,0.7967914438502673,0.6131687242798354,0.8381642512077295
Random Forest,0.7771469127040455,0.5955414012738853,0.5,0.5436046511627907,0.810072592937043
